,Tweet,Target,Stance,Opinion Towards,Sentiment
1424,dollar every want kick shin could retire shitpost twitter day #semst #feminist,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1425,grow century woman may whatever please especially fashion body #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1426,feminist want human male female equal political economic social right equality #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1427,woman go equal outside home man equal gloria steinem #women #semst #men,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
1428,course ugly feminist hate sexy porn star rhino hate fact never unicorn #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1429,poster child identity politic suck #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1430,dear anti porn feminist never eat popcorn watch porn miss life #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1431,people say bit young politic honestly stand believe #marriageequaility #semst #coexist,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
1432,history story need story #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1433,feminist tend get upset leave comedy club humor form intelligence lack #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1434,man make contact woman think owe response #patriarchy #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1435,shhhh see brag even feminist right bitch #semst #gamergate,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1436,realise paint man brush wilfully ignorant could use describe #fail #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1437,realise paint man brush wilfully ignorant could describe #fail #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1438,true compete #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1439,someone frequency video response highlight violence man portray video game #meminist #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1440,funny misogyny objectification feminist completely erase female agency make argument #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1441,look discuss sexism survival situation get back #semst #jurassicworld,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other
1442,dear percent woman think like hence scum love #semst #gamergate,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1443,chance come nashville discuss put deliciousness #semst #plum #dietland.,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1444,wgss discussion forum love librarian #alaac15. #semst #fuckyeahlibrarians,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1445,emilaaslund dear third wave feminist hate woman get definition straight #semst #gamergate #notyo... #slipperyslope,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1446,goldstein city archivist ask woman history city #sanfrancisco #semst #archives #alaac15,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1447,stay well inform sexual violence news important yet often leave rant screen #semst #rapeculture,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1448,wish laura croft would undress could bitch #semst #femfreq,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1449,see feminist disagree say shut aside simple manner treatment befuddle #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1450,feminist outrage american girl recruit isis zero #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1451,maybe cross hungry hmmmm #semst,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
1452,categorize homelessness job #semst,Feminist Movement,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1453,attack feminist label patriarchy cook sunny side egg #semst #signsyoureintheusa,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1454,feminist like judge book cover unless cover straight white male #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1455,feminist doctor issue get wrong doctor #semst #feminist #heforshe,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1456,hear inspiring interview one heroine #women #islam #semst #revolution,Feminist Movement,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
1457,call male volent reason #semst,Feminist Movement,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
1458,lunatic fool skewed logic due delusion #semst,Feminist Movement,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
1459,feel decide get support #semst,Feminist Movement,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other
1460,get sexually harass twice #semst,Feminist Movement,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
